year_month,depth,Temperature,Salinity,Oxygen_1,CO2,Alkalinity,NO3_plus_NO2,NO2,PO4,Silicate,POC,PON,TOC,Bact_Enum,year,CO2_rolling,Alkalinity_rolling
1993-04-01,440.69059829059825,17.26630769230769,36.01104347826087,224.68222222222224,2063.8250000000003,2392.891666666667,7.897777777777777,0.009977777777777776,0.5215555555555556,8.501702127659573,16.2490625,3.2234375,54.4,4.5,1993,2061.095044191919,2391.5242190931053
1993-05-01,525.2223404255319,16.558755319148936,35.75134375,230.9764705882353,2062.5916666666667,2388.75,11.131714285714287,0.014638888888888889,0.7652941176470588,11.069166666666668,23.701,4.101,54.4,4.2444444444444445,1993,2060.642960858586,2391.219357981994
1993-06-01,657.6931506849315,16.360767123287673,35.77572727272727,221.6,2063.625,2387.6,10.2890625,0.003735294117647059,0.703030303030303,10.738823529411764,15.30736842105263,2.3878947368421053,54.4,3.0444444444444443,1993,2060.15615530303,2390.936024648661
1993-07-01,451.793220338983,18.434584745762713,35.755264705882354,224.25588235294117,2065.990909090909,2388.609090909091,10.17483870967742,0.003735294117647059,0.74875,11.195294117647059,14.830526315789475,2.377894736842105,54.4,3.316666666666667,1993,2060.1908143939395,2390.7423377799737
1993-08-01,450.93589743589746,19.593846153846155,35.724,222.54166666666666,2060.516666666667,2393.2999999999997,7.792916666666667,0.0065,0.5283333333333333,11.468055555555557,12.1395,1.828,54.4,3.3833333333333333,1993,2060.6783143939397,2390.6143074769434
1993-09-01,371.64968944099377,19.52414906832298,35.69464705882353,222.57777777777778,2057.5583333333334,2388.6749999999997,8.04375,0.004333333333333333,0.4769565217391304,11.967142857142857,13.366842105263158,2.3978947368421055,54.4,3.0055555555555555,1993,2060.9134785353535,2390.9735877799735
1993-10-01,438.9319327731093,19.152025210084034,35.668454545454544,222.03055555555557,2055.4583333333335,2387.6666666666665,11.177878787878788,0.00325,0.756060606060606,11.295555555555556,15.506499999999999,2.5515,54.4,3.2588235294117647,1993,2060.7759785353537,2390.965506971893
1993-11-01,494.38,17.787366666666667,35.65532352941176,221.49411764705883,2055.9333333333334,2389.08,12.166571428571428,0.0030625,0.8258333333333333,11.983055555555556,11.7405,2.24,54.4,3.2777777777777777,1993,2060.6884785353536,2390.872173638559
1993-12-01,376.2014388489209,18.9038345323741,35.6510303030303,216.09666666666666,2060.0416666666665,2388.449090909091,12.116764705882352,0.0013611111111111111,0.7993939393939393,11.915555555555555,13.541578947368421,2.4015789473684213,54.4,2.183333333333333,1993,2060.9086174242425,2390.4325145476505
1994-01-01,320.99365079365083,18.23089947089947,35.69696153846154,226.04444444444445,2052.1727272727276,2387.818181818182,14.616296296296296,0.04133333333333333,0.8442424242424242,12.145833333333334,12.618,1.8725,54.4,2.6888888888888887,1994,2060.6869002525254,2389.989585254721
1994-02-01,321.3820105820106,18.145888888888887,35.90617073170732,223.74375,2060.6583333333333,2390.2916666666665,8.616382978723404,0.027479166666666666,0.5689361702127659,8.779375,19.0303125,3.609375,54.4,3.1666666666666665,1994,2060.6494002525255,2389.701571969697
1994-03-01,347.78493975903615,17.70063253012048,35.70665625,225.625,2057.9249999999997,2390.5333333333333,10.384705882352941,0.05505555555555555,0.722,11.163611111111111,15.413,3.054,56.065,3.688888888888889,1994,2059.691414141414,2389.472058080808
1994-04-01,222.7389728096677,19.040054380664653,35.9459,223.91666666666666,2058.613043478261,2395.2739130434784,8.466666666666667,0.023604166666666666,0.6112765957446809,8.14125,17.849375,3.1025,53.48285714285714,4.2733333333333325,1994,2059.257084431269,2389.670578612209
1994-05-01,271.64084507042253,18.650908450704225,35.923625,222.0666666666667,2061.7916666666665,2394.0,8.793958333333334,0.009958333333333333,0.6008333333333333,8.846666666666666,20.91322580645161,3.6548275862068964,53.44285714285714,3.9,1994,2059.1904177646024,2390.108078612209
1994-06-01,261.98661087866105,19.37330962343096,35.91325,221.68125,2062.2000000000003,2383.266666666667,9.776829268292683,0.004851063829787234,0.6136363636363636,8.550833333333333,16.252000000000002,2.3315,51.039130434782614,2.8333333333333335,1994,2059.0716677646024,2389.746967501098
1994-07-01,360.3155688622754,19.757011976047902,35.66521212121212,228.24571428571429,2061.0,2382.633333333333,11.504857142857142,0.006222222222222223,0.8851515151515151,12.357222222222223,19.243000000000002,2.5265,51.61739130434783,3.338888888888889,1994,2058.655758673693,2389.248987703118
1994-08-01,296.27978723404254,19.986510638297872,35.73885185185185,222.6942857142857,2061.4083333333333,2382.0,10.934848484848485,0.0014,1.1265217391304347,10.894,11.9205,1.8820000000000001,50.5695652173913,2.966666666666667,1994,2058.730064229249,2388.3073210364514
1994-09-01,369.8,20.095095238095237,35.79696875,221.56944444444446,2049.741666666667,2382.525,11.058333333333334,0.002972222222222222,0.7977142857142857,11.204166666666666,12.483,1.9300000000000002,51.88095238095238,2.8666666666666667,1994,2058.0786753403604,2387.7948210364516
1994-10-01,346.6137724550898,19.226065868263476,35.731645161290324,226.08,2056.8166666666666,2383.05,10.992,0.0044571428571428574,0.7123529411764705,11.312285714285714,19.17,3.4857142857142858,51.36363636363637,3.0055555555555555,1994,2058.1918697848046,2387.410098814229
1994-11-01,354.81595092024537,18.57383435582822,35.619749999999996,224.71388888888887,2056.8166666666666,2395.8875,10.98735294117647,0.0024444444444444444,0.7608333333333334,11.68888888888889,12.008947368421053,2.255263157894737,51.369565217391305,2.4222222222222225,1994,2058.2654808959155,2387.977390480896
1994-12-01,304.3686486486486,19.155664864864868,35.717444444444446,223.15714285714284,2063.125,2391.1,11.275142857142857,0.0014,0.7324242424242424,11.716857142857142,12.4285,1.951904761904762,51.33636363636364,1.7833333333333334,1994,2058.52242534036,2388.198299571805
1995-01-01,467.3941666666667,17.201708333333332,35.74151515151515,221.99166666666667,2062.85,2391.1125,11.537777777777778,0.0013611111111111111,0.7522222222222221,11.368611111111111,9.6745,1.7385714285714284,50.082608695652176,2.038888888888889,1995,2059.4121980676327,2388.4728260869565
1995-02-01,310.82679425837324,17.7353971291866,35.97378125,224.625,2069.633333333333,2391.688888888889,8.681458333333333,0.07202083333333334,0.5656249999999999,8.685416666666667,14.34,2.678181818181818,54.034285714285716,3.033333333333333,1995,2060.1601147342994,2388.589261272142
1995-03-01,269.0185654008439,17.768367088607594,36.144844444444445,227.67166666666665,2067.85,2389.5375,6.8148333333333335,0.07396666666666667,0.4233333333333333,6.660666666666667,21.844545454545454,4.603863636363636,56.05531914893617,3.919047619047619,1995,2060.987198067633,2388.5062751610308
1995-04-01,310.282722513089,17.935958115183247,35.97895833333333,223.8479166666667,2072.320833333333,2397.325,8.784583333333332,0.013395833333333334,0.61125,8.620416666666666,16.343548387096774,3.012903225806452,53.83714285714286,2.9466666666666668,1995,2062.1295138888886,2388.677199074074
1995-05-01,385.6218309859155,16.797830985915493,35.66734375,227.20833333333334,2066.5916666666667,2390.5444444444447,10.86138888888889,0.004833333333333334,0.683939393939394,10.66,32.736875,5.05,51.28695652173913,3.7222222222222223,1995,2062.5295138888887,2388.389236111111
1995-06-01,396.4872180451128,18.079278195488723,35.789531249999996,225.16666666666666,2067.7999999999997,2394.9375,10.809722222222222,0.005833333333333333,0.7658333333333334,10.947222222222223,19.27052631578947,2.482,52.50869565217391,3.411111111111111,1995,2062.9961805555554,2389.3618055555557
1995-07-01,338.71552795031056,18.809602484472048,35.76420588235294,229.35555555555553,2059.775,2388.625,9.798,0.007916666666666667,0.6622857142857143,10.087499999999999,24.8815,3.3465000000000003,52.27826086956522,2.9555555555555553,1995,2062.894097222222,2389.8611111111113
1995-08-01,441.1458333333333,18.774749999999997,35.743742857142855,223.54444444444445,2060.608333333333,2394.5,10.87638888888889,0.004888888888888889,0.7427777777777778,11.23,19.947,2.7915,52.20434782608696,2.65,1995,2062.8274305555556,2390.902777777778
1995-09-01,332.49821428571425,20.392886904761905,35.76265625,221.4972222222222,2059.858333333333,2392.811111111111,10.643714285714285,0.004611111111111111,0.7285714285714285,10.380555555555555,17.857,2.374285714285714,52.50434782608695,2.4166666666666665,1995,2063.670486111111,2391.7599537037036
1995-10-01,349.2231578947368,19.729442105263157,35.845604651162795,223.32777777777778,2057.9500000000003,2391.0375,8.862666666666666,0.004111111111111111,0.5868888888888889,8.871777777777778,16.603571428571428,2.4185714285714286,52.40869565217392,2.45,1995,2063.7649305555556,2392.4255787037036
1995-11-01,682.487323943662,16.74732394366197,35.784757575757574,222.1138888888889,2053.266666666667,2387.842857142857,10.571944444444444,0.0067777777777777775,0.7216666666666667,10.524722222222222,12.977500000000001,2.148,52.7695652173913,2.3499999999999996,1995,2063.4690972222224,2391.7551917989417
1995-12-01,602.5378048780487,16.77756626506024,35.7476875,223.84722222222223,2058.025,2390.5375,10.762222222222222,0.004333333333333333,0.7333333333333333,11.098055555555554,13.32,2.4015,51.84347826086957,2.411111111111111,1995,2063.044097222222,2391.7083167989417
1996-01-01,534.7842105263157,16.085494736842104,35.7204,225.69166666666666,2068.75,2394.625,10.88888888888889,0.04880555555555555,0.7655555555555557,11.12638888888889,15.913499999999999,2.9010000000000002,52.05,2.138888888888889,1996,2063.5357638888886,2392.001025132275
